2000  369.562 1752.110 317.044   1.000  77.200   3.170   0.000  15.500   0.000   0.000   1.400  13.800   0.000    1.700   0.000   0.000   0.000 262.600 540.500  81.700  16.400   9.000  97.900  49.900   3.970   2.820   0.410 141.600  10.800  10.500   0.000 536.000   8.100 2854.184   4.530  34.000
2001  354.297 1741.268 317.917   1.003  77.878   3.293   0.006  16.203   0.156   0.014   1.871  18.251   0.635    2.388   0.030   0.006   0.000 259.858 540.756  80.982  16.469   9.061  96.869  41.597   4.042   2.860   0.407 147.290  12.357  11.349   0.000 965.441  14.125 2819.354   4.740  33.981
2002  340.432 1733.939 318.807   0.990  78.624   3.430   0.011  16.921   0.355   0.028   2.363  22.487   1.361    2.990   0.066   0.012   0.000 256.908 540.508  80.176  16.511   9.095  95.835  34.692   4.091   2.906   0.402 152.804  13.632  12.138   0.0001160.477  15.119 2788.664   4.954  34.196
2003  344.071 1729.157 319.714   0.998  79.435   3.569   0.015  17.721   0.676   0.044   2.948  27.019   2.186    3.523   0.111   0.018   0.000 253.897 539.930  79.377  16.527   9.122  94.826  28.867   4.124   2.945   0.397 158.739  14.499  12.903   0.0001249.371  15.194 2761.040   5.172  34.238
2004  347.470 1724.652 320.637   1.006  80.254   3.682   0.019  18.642   1.074   0.062   3.597  31.856   3.046    4.173   0.169   0.025   0.000 250.899 539.016  78.680  16.527   9.145  93.790  24.005   4.140   2.980   0.390 165.306  15.225  13.717   0.0001285.361  15.017 3253.573   5.393  34.468
2005  350.681 1720.769 321.579   1.010  81.023   3.769   0.023  19.709   1.477   0.081   4.235  36.595   3.865    4.803   0.238   0.033   0.000 247.927 537.489  77.975  16.528   9.165  92.670  19.952   4.136   3.013   0.382 172.636  16.092  14.719   0.0001301.057  14.828 3394.320   5.629  34.602
2006  353.710 1718.423 322.542   1.007  81.726   3.853   0.026  20.770   1.953   0.102   4.950  41.218   4.704    5.383   0.311   0.040   0.000 245.063 535.446  77.144  16.534   9.181  91.463  16.630   4.112   3.034   0.373 180.621  16.935  15.889   0.0001312.875  14.720 3431.169   5.891  34.798
2007  356.601 1716.460 323.486   1.022  82.371   3.933   0.028  21.606   2.441   0.123   5.889  45.521   5.662    5.986   0.382   0.048   0.000 242.354 533.176  76.322  16.535   9.202  90.192  13.945   4.069   3.052   0.366 188.771  17.586  17.094   0.0001315.493  14.510 3425.474   6.166  34.901
2008  359.279 1714.099 324.397   1.027  82.978   4.007   0.031  22.278   2.949   0.144   7.054  49.627   6.719    6.384   0.456   0.056   0.000 239.705 530.724  75.628  16.539   9.220  88.908  11.671   4.016   3.069   0.362 196.644  18.221  18.127   0.0001306.245  14.219 3406.906   6.440  34.829
2009  361.739 1713.546 325.311   1.019  83.596   4.081   0.033  22.973   3.760   0.166   8.354  54.355   7.918    6.673   0.537   0.064   0.000 237.017 528.133  74.962  16.545   9.230  87.638   9.705   3.958   3.087   0.357 204.201  19.066  18.962   0.0001299.007  14.138 3389.280   6.718  34.653
2010  364.182 1715.278 326.225   1.016  84.262   4.156   0.035  23.768   4.688   0.187   9.711  59.508   9.196    6.966   0.625   0.072   0.000 234.300 525.451  74.243  16.544   9.245  86.402   8.036   3.891   3.109   0.349 211.198  20.078  19.664   0.0001299.273  14.157 3362.355   7.004  34.820
2011  366.701 1717.627 327.124   1.028  84.974   4.232   0.038  24.666   5.651   0.203  11.245  65.117  10.482    7.125   0.718   0.083   0.000 231.692 522.731  73.515  16.548   9.268  85.254   6.655   3.813   3.139   0.340 217.559  21.120  20.226   0.0001300.576  14.040 3325.438   7.295  34.903
2012  369.232 1721.717 328.018   1.018  85.658   4.309   0.040  25.616   6.846   0.214  12.982  71.431  11.777    7.085   0.809   0.094   0.000 229.379 520.065  72.811  16.563   9.292  84.211   5.539   3.721   3.165   0.333 223.214  22.008  20.632   0.0001302.809  13.907 3298.713   7.595  34.957
2013  371.765 1728.013 328.925   1.022  86.251   4.381   0.042  26.526   7.872   0.222  14.553  77.631  13.103    6.827   0.891   0.104   0.000 227.396 517.490  72.145  16.576   9.312  83.300   4.610   3.622   3.169   0.326 227.678  22.624  20.760   0.0001304.993  13.796 3280.988   7.899  34.806
