year,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534-over,ssp585
1750,2.18286,2.18286,2.18286,2.18286,2.18286,2.18283,2.18286,2.18286
1751,2.53237,2.53237,2.53237,2.53237,2.53237,2.53237,2.53237,2.53237
1752,2.73077,2.73077,2.73077,2.73077,2.73077,2.7308,2.73077,2.73077
1753,3.164,3.164,3.164,3.164,3.164,3.164,3.164,3.164
1754,2.60188,2.60188,2.60188,2.60188,2.60188,2.60182,2.60188,2.60188
1755,3.91191,3.91191,3.91191,3.91191,3.91191,3.91197,3.91191,3.91191
1756,3.34543,3.34543,3.34543,3.34543,3.34543,3.34542,3.34543,3.34543
1757,3.79533,3.79533,3.79533,3.79533,3.79533,3.79529,3.79533,3.79533
1758,3.91734,3.91734,3.91734,3.91734,3.91734,3.91739,3.91734,3.91734
1759,4.05752,4.05752,4.05752,4.05752,4.05752,4.05751,4.05752,4.05752
1760,4.46473,4.46473,4.46473,4.46473,4.46473,4.4647,4.46473,4.46473
1761,4.12075,4.12075,4.12075,4.12075,4.12075,4.1208,4.12075,4.12075
1762,4.99802,4.99802,4.99802,4.99802,4.99802,4.99795,4.99802,4.99802
1763,5.22783,5.22783,5.22783,5.22783,5.22783,5.22792,5.22783,5.22783
1764,5.39452,5.39452,5.39452,5.39452,5.39452,5.39443,5.39452,5.39452
1765,5.56552,5.56552,5.56552,5.56552,5.56552,5.56558,5.56552,5.56552
1766,5.55852,5.55852,5.55852,5.55852,5.55852,5.55851,5.55852,5.55852
1767,6.19988,6.19988,6.19988,6.19988,6.19988,6.19986,6.19988,6.19988
1768,6.04301,6.04301,6.04301,6.04301,6.04301,6.04302,6.04301,6.04301
1769,6.04894,6.04894,6.04894,6.04894,6.04894,6.04895,6.04894,6.04894
1770,6.62368,6.62368,6.62368,6.62368,6.62368,6.62368,6.62368,6.62368
1771,6.23742,6.23742,6.23742,6.23742,6.23742,6.2374,6.23742,6.23742
1772,6.88535,6.88535,6.88535,6.88535,6.88535,6.88538,6.88535,6.88535
1773,7.02434,7.02434,7.02434,7.02434,7.02434,7.02428,7.02434,7.02434
1774,6.85841,6.85841,6.85841,6.85841,6.85841,6.85847,6.85841,6.85841
1775,7.0085,7.0085,7.0085,7.0085,7.0085,7.00848,7.0085,7.0085
1776,7.08382,7.08382,7.08382,7.08382,7.08382,7.08379,7.08382,7.08382
1777,7.74227,7.74227,7.74227,7.74227,7.74227,7.74232,7.74227,7.74227
1778,7.11903,7.11903,7.11903,7.11903,7.11903,7.11898,7.11903,7.11903
1779,7.67899,7.67899,7.67899,7.67899,7.67899,7.67901,7.67899,7.67899
1780,7.62839,7.62839,7.62839,7.62839,7.62839,7.6284,7.62839,7.62839
1781,7.0419,7.0419,7.0419,7.0419,7.0419,7.04192,7.0419,7.0419
1782,7.93939,7.93939,7.93939,7.93939,7.93939,7.93927,7.93939,7.93939
1783,8.01786,8.01786,8.01786,8.01786,8.01786,8.01813,8.01786,8.01786
1784,8.03173,8.03173,8.03173,8.03173,8.03173,8.03135,8.03173,8.03173
1785,8.22567,8.22567,8.22567,8.22567,8.22567,8.2261,8.22567,8.22567
1786,8.05999,8.05999,8.05999,8.05999,8.05999,8.05956,8.05999,8.05999
1787,8.51434,8.51434,8.51434,8.51434,8.51434,8.51475,8.51434,8.51434
1788,8.52051,8.52051,8.52051,8.52051,8.52051,8.52024,8.52051,8.52051
1789,7.6326,7.6326,7.6326,7.6326,7.6326,7.63273,7.6326,7.6326
1790,9.2714,9.2714,9.2714,9.2714,9.2714,9.27127,9.2714,9.2714
1791,9.63399,9.63399,9.63399,9.63399,9.63399,9.63411,9.63399,9.63399
1792,9.89678,9.89678,9.89678,9.89678,9.89678,9.89672,9.89678,9.89678
1793,10.3738,10.3738,10.3738,10.3738,10.3738,10.3738,10.3738,10.3738
1794,10.1071,10.1071,10.1071,10.1071,10.1071,10.1071,10.1071,10.1071
1795,10.3216,10.3216,10.3216,10.3216,10.3216,10.3215,10.3216,10.3216
1796,10.5463,10.5463,10.5463,10.5463,10.5463,10.5465,10.5463,10.5463
1797,11.0799,11.0799,11.0799,11.0799,11.0799,11.0799,11.0799,11.0799
